fhour,foco,lat,lon,tipo_foco,estado,viento_kt,dir_deg,viento_comp,temp_c,rh,pr,pbl,major_m,minor_m,nivel,orografia_tipo,d_foco_humedal_m,d_target_humedal_m,d_foco_ruta_m,d_target_ruta_m,d_foco_agua_m,d_target_agua_m,score_foco_humedal,score_target_humedal,score_foco_ruta,score_target_ruta,score_foco_agua,score_target_agua,score_eco,dist_km,score_dist,score_foco,score_estado,score_transporte,score_rh,score_pr,score_temp,score_pbl,score_persist,score_orografia,eco_bonus,score_total
54,Bollenar,-33.6,-71.1,traspatio,activo,3.7897718786196095,77.88889432645226,E,15.581298828125,56.20000076293945,0.0,20.84453010559082,9251.874159833413,5458.605754301714,MEDIO,VALLE,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10.674212274874577,0.65,0.6,1.0,0.35000000000000003,0.75,1.0,1.0,1.0,0.925,0.7628371059894561,0.0,0.563274811000824
54,Talagante,-33.66,-70.93,industrial,activo,3.236071443829788,64.79169261313223,NE,15.181304931640625,54.79999923706055,0.0,12.924529075622559,8703.71072939149,5135.18933034098,MEDIO,INTERMEDIO,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12.39543007434001,0.65,1.0,1.0,0.11000000000000001,0.75,1.0,1.0,1.0,0.925,0.49669439271092414,0.0,0.5628227073035241
57,Bollenar,-33.6,-71.1,traspatio,activo,1.5708055033883705,147.2752124763295,SE,13.2977294921875,70.5,0.0,17.789508819580078,7425.490064393099,4381.039137991929,MEDIO,VALLE,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10.674212274874577,0.65,0.6,1.0,0.6799999999999999,1.0,1.0,1.0,1.0,1.0,0.7628371059894561,0.0,0.628272811000824
57,Talagante,-33.66,-70.93,industrial,activo,0.5162820408713422,63.099312830375766,NE,13.49774169921875,63.20000076293945,0.0,10.509509086608887,6107.297150920631,3603.305319043173,MEDIO,INTERMEDIO,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12.39543007434001,0.65,1.0,1.0,0.11000000000000001,0.75,1.0,1.0,1.0,0.925,0.49669439271092414,0.0,0.5628227073035241
60,Bollenar,-33.6,-71.1,traspatio,activo,0.2083268457097711,114.66620543348319,SE,12.920989990234375,69.30000305175781,0.0,14.54732894897461,5971.58399066529,3523.2345544925215,MEDIO,VALLE,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10.674212274874577,0.65,0.6,1.0,0.53,0.75,1.0,1.0,1.0,0.925,0.7628371059894561,0.0,0.593082811000824
60,Talagante,-33.66,-70.93,industrial,activo,1.0976356841497257,349.5306930609833,N,13.121002197265625,63.599998474121094,0.0,10.54732894897461,6705.219144947555,3956.0792955190577,MEDIO,INTERMEDIO,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12.39543007434001,0.65,1.0,1.0,0.2,0.75,1.0,1.0,1.0,0.925,0.49669439271092414,0.0,0.5777267073035242
63,Bollenar,-33.6,-71.1,traspatio,activo,2.2933065640940162,236.575638422037,SW,12.773956298828125,66.5,0.0,12.269108772277832,8022.910637152801,4733.517275920153,MEDIO,VALLE,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10.674212274874577,0.65,0.6,1.0,0.35000000000000003,0.75,1.0,1.0,1.0,0.925,0.7628371059894561,0.0,0.563274811000824
63,Talagante,-33.66,-70.93,industrial,activo,2.4012661981682877,286.46537695145037,W,12.973968505859375,63.0,0.0,10.509108543395996,7995.412339229403,4717.293280145349,MEDIO,INTERMEDIO,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12.39543007434001,0.65,1.0,1.0,0.6799999999999999,0.75,1.0,1.0,1.0,0.925,0.49669439271092414,0.0,0.6572147073035242
66,Bollenar,-33.6,-71.1,traspatio,activo,3.2333249463905984,240.4328198070632,SW,14.880767822265625,58.20000076293945,0.0,27.283145904541016,8700.991696926694,5133.58510118675,MEDIO,VALLE,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10.674212274874577,0.65,0.6,1.0,0.35000000000000003,0.75,1.0,1.0,1.0,0.925,0.7628371059894561,0.0,0.563274811000824
66,Talagante,-33.66,-70.93,industrial,activo,2.040556918730794,274.327982816838,W,13.98077392578125,59.29999923706055,0.0,25.36314582824707,7520.1513495434865,4436.889296230657,MEDIO,INTERMEDIO,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12.39543007434001,0.65,1.0,1.0,0.6799999999999999,0.75,1.0,1.0,1.0,0.925,0.49669439271092414,0.0,0.6572147073035242
69,Bollenar,-33.6,-71.1,traspatio,activo,2.487592400873503,46.70161848037253,NE,21.500274658203125,38.099998474121094,0.0,483.60821533203125,7962.716476864769,4698.002721350214,BAJO,VALLE,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10.674212274874577,0.65,0.6,1.0,0.2,0.45,1.0,1.0,1.0,0.835,0.7628371059894561,0.0,0.5260148110008239
69,Talagante,-33.66,-70.93,industrial,activo,5.210060175968464,119.5620101356235,SE,22.4002685546875,34.20000076293945,0.0,571.1282348632812,10657.95957420878,6393.485294860638,MEDIO,INTERMEDIO,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12.39543007434001,0.65,1.0,1.0,0.21000000000000002,0.45,1.0,0.8,1.0,0.8049999999999999,0.49669439271092414,0.0,0.5628227073035241
72,Bollenar,-33.6,-71.1,traspatio,activo,5.850485774936692,55.643462727228325,NE,25.551544189453125,28.299999237060547,0.0,960.5062866210938,11291.980917187324,7384.494880136382,BAJO,VALLE,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10.674212274874577,0.65,0.6,1.0,0.30000000000000004,0.2,1.0,0.8,0.75,0.68,0.7628371059894561,0.0,0.5211848110008239
72,Talagante,-33.66,-70.93,industrial,activo,7.140083637990091,102.60304461748069,E,26.551544189453125,24.100000381469727,0.0,1028.746337890625,12485.496593990501,8283.340296123612,BAJO,INTERMEDIO,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12.39543007434001,0.65,1.0,1.0,0.21000000000000002,0.2,1.0,0.8,0.75,0.68,0.49669439271092414,0.0,0.545572707303524
